type,t.min,t.max,t.mean,t.median,t.sd,t.q99,t.num
Baseline,305,1232,415.278,402.5,82.20782713855684,645.2799999999997,1000
WAIT,538,1790,701.976,689,119.80872069074752,1002.0999999999999,1000
